[00:00:33.320 --> 00:00:36.740]   Thank you.
[00:29:37.000 --> 00:29:48.000]   She goes, "Just kidding. I thought I'd give you a taste of your own medicine. But he does want to speak to you."
[00:29:48.000 --> 00:29:58.000]   So I call him. He says, "Good news, then, on the blood. I want to ask you a question, then. You had a wee one, then, a lad you brought in. Is he even hitting on you in any way, then?"
[00:29:58.000 --> 00:30:10.000]   Whoa. Oh my God, I'm glad you asked that question. I forgot. I've been reading that T. W. Winnicott, the British child therapist, who says that two-year-olds have an omnipotent fantasy that they can devour their parents.
[00:30:10.000 --> 00:30:20.000]   They can destroy them. They're totally potent. And in order to diffuse this fantasy, they have to attack constantly to see if it's true.
[00:30:20.000 --> 00:30:28.000]   And I was letting Forrest exercise that on me. I was letting him bite my thigh very hard, but didn't notice the bruises until the good weather came, you see?
[00:30:28.000 --> 00:30:33.000]   And I took my pants off to put on my bathing suit.
[00:30:33.000 --> 00:30:44.000]   So we get back to America, and Forrest has grown just enough now, so his teeth are a little higher, and he goes, "Ow!" and bites into my right testicle, and I just wham!
[00:30:44.000 --> 00:30:48.000]   It was a ball jerk reaction.
[00:30:48.000 --> 00:31:05.000]   He's crying. "Are you all right, honey? Are you all right? Oh, sweetie. Oh my God, why did you... My underwear was bloody. He drew blood. What, was this early Oedipal? What? What? Will we ever know?"
[00:31:05.000 --> 00:31:09.000]   And speaking of trees, Forrest is down.
[00:31:09.000 --> 00:31:15.000]   And I'm trying to do my last of my stretches. He's got the Where's Waldo in Hollywood book.
[00:31:15.000 --> 00:31:22.000]   He brings it over in the middle of my yoga. He wants me to find Waldo amongst 2,000 Ben Hur Extras in Hollywood.
[00:31:22.000 --> 00:31:30.000]   I say, "Later, later." Kathy's down behind him. She's got the radio on, carrying Theo in her arms. She's got the news on, and, oh, breakfast is beginning.
[00:31:30.000 --> 00:31:38.000]   She puts Theo in the little high chair, and he gets his melody trained and starts playing with that, gets his Cheerios out. He's happy.
[00:31:38.000 --> 00:31:44.000]   Oh, Marissa's down. I can't believe it. The kids are raking up on their own. You see, you have to drag them out of bed.
[00:31:44.000 --> 00:31:51.000]   She's down, and she's boiling water to make her oatmeal. Kathy goes, "Keep that water away from the baby. Don't get that near the baby, please."
[00:31:51.000 --> 00:31:57.000]   Marissa runs out on the porch to look for the New York Times in search of anything she can find about Spice Girls.
[00:31:57.000 --> 00:32:02.000]   And I am amazed how much the New York Times is printing about Spice Girls.
[00:32:02.000 --> 00:32:05.000]   "What do you want for breakfast, Forrest?" Kathy says.
[00:32:05.000 --> 00:32:14.000]   "Captain Crunch, Mom. And what can I make for lunch?" She goes, "Peanut butter and jelly sandwiches, no crusts on the bread, no peanuts in the butter, and no seeds in the jelly."
[00:32:14.000 --> 00:32:18.000]   "Marissa, what do you want for lunch? Can I put that cold pizza in?"
[00:32:18.000 --> 00:32:21.000]   "No, I saw a fly throw up on it last night," she says.
[00:32:21.000 --> 00:32:29.000]   "Oh, my God, hurry, hurry. Come spalding. Finish your yoga," Kathy says, "and get out in the basement and get Forrest's jeans. He needs them."
[00:32:29.000 --> 00:32:38.000]   I'm finishing up my salute to the sun. I go down into the basement, and suddenly I hear that someone has turned off the news upstairs.
[00:32:38.000 --> 00:32:47.000]   I assume it's Marissa clumping around, and all of a sudden, "Shut that thing down. It's that damn Spice Girls. I feel like I'm living in a disco, for God's sakes.
[00:32:47.000 --> 00:32:52.000]   I feel like I'm having a cigarette and coffee for breakfast. Shut it down, shut it down."
[00:32:52.000 --> 00:33:01.000]   All of a sudden, there's this huge crash of glass, and Forrest says, "Dad, you know that picture of George Washington on his death bed? He's dead."
[00:33:01.000 --> 00:33:07.000]   Marissa just kicked her clog through it. "What?" Kathy says, "Those are my clogs."
[00:33:07.000 --> 00:33:12.000]   "I was an accident," Marissa says, "an accident." "You're not supposed to dance with clogs," Kathy says.
[00:33:12.000 --> 00:33:18.000]   "Quake this glass all over the couch. Get the vacuum cleaner, the baby, the baby, the glass. Marissa, go upstairs."
[00:33:18.000 --> 00:33:23.000]   Forrest says, "My jeans are damp, Mom. My jeans are damp. I am not going to be the only one in school with damp jeans."
[00:33:23.000 --> 00:33:30.000]   "Go downstairs and put them in the dryer spalding. Hurry, hurry, get the vacuum cleaner. I need help. Marissa, go get your schoolbooks," Kathy says.
[00:33:30.000 --> 00:33:39.000]   She runs down with her schoolbooks, gets her lunch, puts them in her bag. Kathy grabs her, puts away the vacuum cleaner, and they are gone.
[00:33:49.000 --> 00:34:00.000]   And I am with the boys. And the house is two people calmer. Now I have to get Forrest dressed very quickly to get him ready for school.
[00:34:00.000 --> 00:34:08.000]   And that means I'm going to have to go up to the attic with him to help him select his clothes because he won't go up to the attic alone because I let him see the Chucky video.
[00:34:14.000 --> 00:34:22.000]   So now that means I have to take Theo out of his side chair and go up and follow Forrest up. And I take Theo out, who's squirming, and I take him into my arms.
[00:34:22.000 --> 00:34:36.000]   And at last I feel he's centered, that weight. Oh, the world is doomed to overpopulation, I think. I understand why people keep having babies as they hold him at this moment.
[00:34:36.000 --> 00:34:41.000]   And crunch across the Cheerios on the floor and start up behind Forrest's attic.
[00:34:41.000 --> 00:34:52.000]   In the attic, holding Theo, I look out my two favorite windows. The arch window is looking to the north. And now with the trees starting to lose leaves, I can almost see a patch of the bay, really.
[00:34:52.000 --> 00:35:02.000]   You could say off-season, it is the slight water view. And then going down to the other arch window, I see the cemetery. And turning to see Forrest, oh, he's put on his own shirt.
[00:35:02.000 --> 00:35:15.000]   Hey, you look beautiful. I almost said beautiful. Cool. Cool is the only adjective Forrest allows in. No, I will not allow awesome into the house until something awesome happens.
[00:35:15.000 --> 00:35:28.000]   And we are waiting. Downstairs now, Kathy is back from taking Marissa to school. She drove her to school. It's not far. I mean, the kids could walk to school if we only took time to teach them.
[00:35:32.000 --> 00:35:39.000]   So now Kathy says to Forrest, who do you want to take? Someone has to take Forrest to school. And he always knows. It's different every day.
[00:35:39.000 --> 00:35:49.000]   And he says, Mom, that's fine. That means Kathy is going to go. I'll stay home with Theo. That means Kathy will go to his assembly. The whole school has an assembly in the gym before he begins.
[00:35:49.000 --> 00:36:05.000]   And then they do patriotic songs, songs about wailing, baby beluga, salute the flag. Sag Harbor has more flags in it than I've ever seen. I thought it was a national holiday when I first got there, but I've come to love it. I've really come to love it.
[00:36:05.000 --> 00:36:22.000]   And those patriotic songs. I mean, did we hear them? Land where our fathers died, land of the pilgrims' pride. Now at home, I'm kind of cleaning up Marissa's oatmeal. She's barely eating it, her instant oatmeal. I'm clearing it off, eating it as I go.
[00:36:22.000 --> 00:36:38.000]   That's kind of my breakfast. My God, I've put on 20 pounds since I've had children. Crawling under the table in restaurants, I cannot stand to see the food wasted. I don't mind tipping, but I feel bad for the busboys.
[00:36:38.000 --> 00:36:56.000]   I crawl under to pick up the rice and pasta and French fries, and I don't take it out on trade. I'm just eating too much of the kids' food. I can't stand it. My mom did it. When she had a little plastic stranger in the corner of the sink, we should have to scrape our food in that we didn't eat.
[00:36:56.000 --> 00:37:14.000]   She'd pick it out and eat it. Think of the starving Koreans, she'd say. Now look, 50 years later, the Koreans are still starving, and we're still getting fat eating for them. Theo is just squirming in my arms. He's a little squirm in my flesh and bone garden. It feels like he's growing right in my arms.
[00:37:14.000 --> 00:37:28.000]   I suddenly have a paranoid fantasy as I'm holding him. I understand why the American government encourages large families. Once you have one child, you don't even notice what's going on out there.
[00:37:28.000 --> 00:37:48.000]   Conspiracies. They could be building a nuclear power plant in my backyard, and I wouldn't notice. So Kathy comes back. I turn Theo over to her. I'm going to finally get out, take what's left of the paper, have a little coffee.
[00:37:48.000 --> 00:38:02.000]   Kathy takes Theo up to her office upstairs in the library where she's working out of the home three days a week. I just start to get the paper out of what's actually the day before Tuesday, and I hear this knock on the door.
[00:38:02.000 --> 00:38:19.000]   And I go, oh my God, it's one of the workers. They're always coming up to check. There's always something wrong with the house. It's an 1890s house, and I'm allergic to hammers. There's nothing I can do to fix it. The only thing I can do is go out on the road and tell stories about the disrepair of the house.
[00:38:19.000 --> 00:38:34.000]   And then come back. It's an 1890s house, which means I'm out on the road an awful lot now. So she calls the workers to come up and give her an estimate on it, and I let her do that because, well, we're not married, and she goes under the name Russo.
[00:38:34.000 --> 00:38:48.000]   And most of these guys are Italian Americans. They're coming up to do the bid, so I figure they're going to come quicker for a goombah than a gray. But whenever they arrive, Kathy is up in her office, and I'm sitting there in my yoga outfit like a dressed down Ozzie Nelson.
[00:38:48.000 --> 00:39:05.000]   Always on the verge of going to work. And they always say, oh, you must be Mr. Russo. And I've come to say, yeah, it's easier to say it. Yeah, Mr. Russo. So that's my new pseudonym there, Ozzie Russo.
[00:39:05.000 --> 00:39:27.000]   Kathy, you want to come down? There's a guy, a contractor here. I think it's about the rotting cells under the French doors. So I will at last sit down with my favorite section of the New York Times, the science section, Science Times, and look for something, a choice to help objectify my anxiety.
[00:39:27.000 --> 00:39:37.000]   Here's one. Unpredictable rogue asteroids.
[00:39:37.000 --> 00:39:51.000]   Just last year, an unknown rogue asteroid the size of Yankee Stadium was spotted just four days before it whipped by the Earth. That's a good one.
[00:39:51.000 --> 00:40:01.000]   Oh, my God, look at this. Why Millstone reactor worries me. They have reopened the nuclear reactor in Waterford, Connecticut with an accidental release of radioactive material.
[00:40:01.000 --> 00:40:18.000]   The prevailing northwest wind could carry a radioactive plume over the north and south fork of Long Island, where we have just moved, causing an environmental catastrophe that could never be recuperated from 23,000 dead, they're estimating, because there's no evacuation plan.
[00:40:18.000 --> 00:40:25.000]   The Long Island Expressway?
[00:40:25.000 --> 00:40:36.000]   Oh, no, this in the Science Times? It can't be. Studies show bicycle seats may cause impotence.
[00:40:36.000 --> 00:40:49.000]   The seat can compress two main arteries that run under the scrotum and feed the penis erect. Why now? Why? Just when I bought a bike? I mean, that's how I work up my anxieties.
[00:40:49.000 --> 00:40:56.000]   Look, these three stories and four cups of coffee have left me horny.
[00:40:56.000 --> 00:41:08.000]   I got that lower base of the spine early morning itch. I'm wondering if it's too early to give Kathy a call and interrupt her. Kathy, want to take a break? Which is the euphemism for you do you want a quickie.
[00:41:08.000 --> 00:41:16.000]   With Forrest, in the old days with Forrest, it used to be, Forrest, honey, do you want to see a Barney video?
[00:41:16.000 --> 00:41:25.000]   I never thought a purple dinosaur with cellulite could be such a turn on. Kathy and I would hear that Barney music and we'd get hot.
[00:41:25.000 --> 00:41:38.000]   But now with little Theo, he's nine months. He doesn't like videos. It doesn't take much to entertain him. A brown paper bag, fill it with band roll on, an unopened bottle of vitamin Cs and a hairbrush. He's happy.
[00:41:38.000 --> 00:41:44.000]   So I take the paper bag upstairs and put it on the floor by the bed. The bed is high enough so we were kind of out of his sight line.
[00:41:44.000 --> 00:42:02.000]   And Kathy and I, whoop, strip to the buff row when we jump into bed and begin to quangle wangle and make the beast with two backs. And all of a sudden, and I'm careful not to look out the window to the north because you look right down at the Baptist church and the white picket fence. It's not a turn on.
[00:42:02.000 --> 00:42:09.000]   But if I get turned on and I want to maintain direction without a premature ejaculation, looking out of the historic cemetery does hell.
[00:42:09.000 --> 00:42:20.000]   I have to say it's all unique for me making love in the day like this. My loft had no windows in the bedroom so it was like a 24 hour dark sex cave, you see.
[00:42:20.000 --> 00:42:29.000]   But here now it's very, we're just getting into it when all of a sudden I hear what sounds like insane laughter coming from between Kathy's legs.
[00:42:29.000 --> 00:42:45.000]   He goes, ha ha ha ha, that tickles, that tickles. It's a tickle me Elmo doll. One of the kids has either put it in there or left it in there and oh my God, Kathy's laughing, Elmo's laughing, little Theo's laughing.
[00:42:45.000 --> 00:42:55.000]   I'm not laughing. I can't laugh and maintain an erection at the same time. I would love to be laughing.
[00:42:55.000 --> 00:43:07.000]   So I hurl a doll out of the bed and we get back into the hunky durriness of it all and just as we get back into it, we hear this guy downstairs yell, electrician.
[00:43:07.000 --> 00:43:17.000]   Oh God, Kathy goes, God, I'm sorry. The electrician's come to check on the attic for Marissa's bedroom. She puts on her bathrobe and raises it.
[00:43:17.000 --> 00:43:33.000]   We'll do it later. We'll do it later when Theo's asleep. We'll do it out in the writer's studio. And I go, yeah, I bet. As I stagger into the bathroom and spray cold water on my jennies and get ready for my bike ride.
[00:43:33.000 --> 00:43:50.000]   Now what does it take? Nothing to get ready really. I'm no spandex day glow gear head. I just dress like a 10 year old when I had a Schwinn. Tuck my corduroys into my sock, put an elastic around my pants and put on a windbreaker and I'm ready as I'm heading out.
[00:43:50.000 --> 00:44:02.000]   Kathy stops me at the door and asks me if I would please hold Theo while she takes the electrician up to the attic. Once again now I have him squirming in my arms and I think, how to calm him? Oh, all I have to do is step outside.
[00:44:02.000 --> 00:44:21.000]   Theo is my outdoor bliss kid born in that storm and I step out now into the yard and he just goes into a little awesome trance. He goes, ooh. As I hold him down like my new bliss eyes, like a little camera looking down through his head, I'm inhaling the bouquet of his head.
[00:44:21.000 --> 00:44:41.000]   As I aim him at the west wall, a wooden wall with English ivy on it and over it the wide yellowing mulberry trees that are in the neighbor's driveway there. And now panning him around the yard like a camera, I go past the corner of Carolyn Blackwood's house and Robert Lowell's last home looking like a giant wedding cake through fall foliage.
[00:44:41.000 --> 00:44:58.000]   Past my writer's studio, which basically still is a sex pad in a storage room. I haven't gotten down to much writing yet. And now facing north, it's the north fence and two roses still, late summer roses where Theo goes, ooh.
[00:44:58.000 --> 00:45:14.000]   Above this fence is Carlos and Maria's, the gables of their house, the next door neighbors. A lovely older retired couple, he's from Peru, she's from Australia, but they're like grandparents to our kids and we often go over there or come over.
[00:45:14.000 --> 00:45:25.000]   The only thing that's uncomfortable with is Carlos is one of those guys that collects jokes and is always trying new ones out on me. I'm not a good one to listen to jokes. They remind me of seventh grade math problems.
[00:45:25.000 --> 00:45:34.000]   I'm always afraid I'm going to miss one of the elements and then they have to fake the laughter like.
[00:45:34.000 --> 00:45:48.000]   Oh, but one he did tell me I will never forget, which I'll share with you. It's like a visual haiku. It's very quick and to the point it goes, a skeleton walked into a bar, ordered a glass of beer and a mop.
[00:45:48.000 --> 00:46:08.000]   Now turning Theo to the east, we see the pivot hedge, crosshatching of phone wires, the Catholic church now with a steeple and a cross against the clear autumn sky with a seagull now perched on top like a weather vane and turning him now to the house, the south.
[00:46:08.000 --> 00:46:19.000]   Our home, my first home really in my adult life, the straight up and down green clapboard Victorian looks like a doll's house really because of the French doors at the bottom which are around the kitchen and the living room.
[00:46:19.000 --> 00:46:34.000]   It looks like it's open where a giant's hand could reach in and pull the children out and on wild autumn nights, I've run out often and look back in at the children playing in front of the fireplace and then on the other side of the wall, unseen to them, the mother in the kitchen, cooking and cleaning and cooking and cleaning.
[00:46:34.000 --> 00:46:48.000]   And now I take Theo and deliver him back to Kathy and take my trek bike out of the shed and I'm ready and just before I go, I'll take one quick pee, find a private corner on the yard. I've always said I'd never own a house where you couldn't pee privately in the yard.
[00:46:48.000 --> 00:46:57.000]   And with a seagull flying overhead, I empty myself and get on that bike and I'm off and I think, "Why did it take me so long to get out of that house?"
[00:46:57.000 --> 00:47:10.000]   How quickly my head clears as I ride past the historic cemetery on my left and turn down Jermaine Avenue with the Oakland Cemetery now on my left. How I love these cemeteries. There's such great negative space. You kind of hope they won't develop there.
[00:47:10.000 --> 00:47:27.000]   As I'm riding now, and once you get out of the town of Saigaba, which is really quite a pristine little Victorian village, you are out into the geography of nowhere or anywhere as I ride down Noiack Road. I could be in Huntington, Babylon, Amityville, Syosset.
[00:47:27.000 --> 00:47:44.000]   It's a homogeny of random chaotic styles. Row houses, ranch houses, split levels with fake brass carriage lamps, beach bungalows, three million dollar baronic trophy homes with four chimneys, five car garages plunked down in the middle of potato fields unlandscaped used two months out of the year.
[00:47:44.000 --> 00:48:01.000]   Final sided clapboard colonials, oversized large load white shrink wrapped power boats balanced like huge Clorox bottles on undersized trailers. Boston whalers and rusting Buicks for sale, Jeeps for sale, night crawlers, firewood, put your own pumpkins here,
[00:48:01.000 --> 00:48:21.000]   hot rods, speed boat, lobster pot snails, oh the stupefying clutter of it all. And all of a sudden, pow, I'm out and riding my bike now along the water, along the bay, shockeroo, it's an out of season million dollar Caribbean blue, and the wind is behind me pushing me on now as I get energy off of the water.
[00:48:21.000 --> 00:48:35.000]   And riding now out under route 114, coming in for my final lap, roadkill, dead deer stinking over there in the gut of dead squirrels there, oh 7-11 coffee cups, about 40 of them in one pile there, same contractors dumping them out as they turn to work on that house.
[00:48:35.000 --> 00:48:44.000]   Ah, there ought to be a law, there is. And all of a sudden, I feel that tingling in my crotch. I'm losing the circulation.
[00:48:44.000 --> 00:49:08.000]   I stop the bike and walk it. I stop, as I always do with my bike, and get off and look out over the town because it is the only slight rise in which you can see now the town in the distance, it looks like it has a medieval wall around it of condos, restaurants, a marina, and there nestled behind it is the Victorian colonial town like a little pop-up village.
[00:49:08.000 --> 00:49:18.000]   And saving it from being calendar art is this one giant 100 foot high blue gas ball that looks like a giant pool ball that just rolled into town and stopped.
[00:49:18.000 --> 00:49:28.000]   And I think if only I could oversee, look at this town, if there was only a hill, that's the only thing that was missing, that I could go up and have that God's eye view.
[00:49:28.000 --> 00:49:47.000]   And remember, having it once, flying back from England with my family in a 747, we went right over Syke Harbor in the daylight and looked down and saw the Whalers Church and our home in Long Wharf, in all 2009 people, the population of the town in winter, about the size of an average A train at rush hour in New York City.
[00:49:47.000 --> 00:50:03.000]   And now as I stand there, I remember that first day when I did this ride and how I got off my bike and thought, if I stand here long enough, I mean I had felt like I had last come back to the place I started from, I was about to know it for the first time.
[00:50:03.000 --> 00:50:29.000]   In putting my arms around myself, I thought, if I stand here long enough, I will at last feel as though I belong. I will last feel connected to this earth. And I stood there and nothing happened but motion and the water running under me and the feeling of transiency, impermanence, change.
[00:50:29.000 --> 00:50:44.000]   And I thought the best and most honest thing I could do was get on my bike and be in motion. And now I hear the noon whistle and I know that I will go down to the IGA to shop for lunch with all the other workers as they put their burden down.
[00:50:44.000 --> 00:51:08.000]   I will go down to that little teeny IGA on the middle of Main Street. It's like an Eastern European store. It has one of some things. No paralysis of choice there. As I stand in the line with the other workers, ordering ham salad, peppered farm bread, a can of Campbell's tomato soup, me, Ozzie Russo.
[00:51:08.000 --> 00:51:23.000]   And I go back and make lunch and Kathy and I and Theo eat it at the round table in the dining room. And it's noon on Wednesday, October 8, 1997.
[00:51:23.000 --> 00:51:39.000]   After lunch, I think I would love to do something with my hands, something manual. If only I could, what could it be? And I think I could cut the lawn because I have a hand mower. The lawn is small enough to cut it with a hand mower. And also as a kid, I grew up with a hand mower.
[00:51:39.000 --> 00:52:00.000]   In fact, never graduated to power mowers. I got disillusioned with my community and hand mowers and moved to New York City, escaped. And started instead of a family, an experimental theater collective. That was my substitute for a family. Instead of living in the real world, we deconstructed American classics and made our own world in the windowless art house of the performing garage.
[00:52:00.000 --> 00:52:16.000]   And I remember we deconstructed Eugene O'Neill's Long Day's Journey into Night. I'd known the play because I'd been in a traditional four-hour production of it and took the script and underlined all my favorite lines in red. It came to seven minutes.
[00:52:16.000 --> 00:52:31.000]   And we staged it with the Worcester group. Elizabeth the Klump directed it and choreographed it to Berlioz's Roman Carnival Overture, which is also, by the way, seven minutes long. And it was a wild production. Willem Dafoe played the mother, Mary, in drag.
[00:52:31.000 --> 00:52:50.000]   I played James Tyrone in a smoking jacket. A smoke machine going, guns going off, Berlioz playing. And at some point I did this lawn mower dance that Liz choreographed with a hand mower, a yellow hand mower. And I did that lawn mower dance so many times, I did it more than I ever had cut a lawn with a hand mower, that the hand mower turned into an object of art, really.
[00:52:50.000 --> 00:53:05.000]   And now as I stand here in the lawn on Zack Harbor with my hand mower, I feel like I'm waiting for the play to begin. I feel like Ozzie Russo being played by Spalding Gray, who is playing at being a family man.
[00:53:05.000 --> 00:53:11.000]   And I begin to act as though I'm cutting the grass. And the grass goes down as though it's being cut.
[00:53:11.000 --> 00:53:21.000]   And out of the corner of my good eye, I spy Kathy now, crossing behind me, dressed in dungarees, barefoot in a bra, headed for the writer's studio.
[00:53:21.000 --> 00:53:32.000]   And I say, "Oh, I love that woman. She's such an initiator. She's such a phallic gal." And I suddenly turn into the gardener.
[00:53:32.000 --> 00:53:43.000]   And I go over and meet her at the door to the writer's studio and we pass in without speaking.
[00:53:43.000 --> 00:53:59.000]   I finish cutting the lawn about 2.15, 2.30, and I think, "Oh, wait, maybe I have time for sale on my little boat." And I go, "No, no, it's time to pick Forrest up. I can't believe it.
[00:53:59.000 --> 00:54:07.000]   It's time to pick him up at kindergarten." And I used to love to pick him up at preschool the year before because he'd see me and streak out, "Daddy!"
[00:54:07.000 --> 00:54:15.000]   I'd grab him and hurl him around, swing him around in my arms. I thought that would go on for years. At least five.
[00:54:15.000 --> 00:54:27.000]   Now they parade him out and he lines up against a hurricane fence. I have to pick him out. He doesn't run out. I have trouble recognizing him.
[00:54:27.000 --> 00:54:41.000]   And I go, "Oh, hi, honey." "Oh, God, can I still call him honey?" And all the other fathers are there going, "Yo, sport. Hey, fella. Hey, come on, guy. Hey, let's get cracking. Hey, bud. Hey, come on, come on. Whoa, dude. Awesome. Whatever. We're out of here."
[00:54:41.000 --> 00:54:48.000]   "Hi, sweetie. Did you have a good day?" "We're going to go downtown and get a video." We don't have a television at our house. We've managed to keep it out.
[00:54:48.000 --> 00:54:57.000]   And so we do have a monitor. We watch videos. I saw a forest exposed to a TV in Martha's Vineyard. We had cable. He would get up in the morning, eat his cereal and run on the TV.
[00:54:57.000 --> 00:55:05.000]   Four hours later, we'd shut it off and go to the ocean and he'd be banging his head on a couch like a heroin addict in withdrawal. "What am I going to do?"
[00:55:05.000 --> 00:55:11.000]   I said, "You're going to go to the ocean and play in the waves, but think of all the shows I'll miss."
[00:55:11.000 --> 00:55:22.000]   No TV. Channels lead to channels. Endlessly. Video has a beginning, a middle, and an end. So we're going to go get a video, rent a video, but first we'll go get your bike and ride downtown.
[00:55:22.000 --> 00:55:31.000]   So we start across the schoolyard and Forrest starts in on his list of etymological derivation questions, which we go through. And he goes, "Dad, can I tell you something?
[00:55:31.000 --> 00:55:41.000]   Why do they call a road a road?" I told you, I'm still struggling with the English language myself. I don't know a lot of the derivations of these.
[00:55:41.000 --> 00:55:50.000]   "Dad, can I tell you something? How do cars come into the world?" I suddenly see a seventh grade science film I remember as a kid with Ed Herlihy.
[00:55:50.000 --> 00:55:58.000]   It's a big Bessemer furnace. I remember that. It's a stumping molten what? Steel, metal, iron. What's the difference between metal, steel, and iron?
[00:55:58.000 --> 00:56:03.000]   They call it Steel Town, don't they? Or Iron City. "Wait, I see a conveyor belt." By now he's already on to something else.
[00:56:03.000 --> 00:56:10.000]   "Dad, I think I know why they call a fish a fish." "Why, honey?" "Because it has a fin that begins with 'fuh', Dad. Fuh, fuh, fuh."
[00:56:10.000 --> 00:56:18.000]   "Dad, I know why they call a hotel a hotel." "Why, sweetie?" "Because when the family gets to the hotel, they all laugh. They go ho, ho, ho, ho, ho."
[00:56:18.000 --> 00:56:34.000]   And then they tell Dad. They tell about what happened on the way there. At home now, I go get his bike out of the writers' studio, and it's got the little train of wheels.
[00:56:34.000 --> 00:56:39.000]   He insists on me getting his helmet. "What is a five-year-old doing wearing a crash helmet to ride on the sidewalk?"
[00:56:39.000 --> 00:56:44.000]   I don't know, but I get it. He looks like a purple cockroach in the thing. It's so weird looking.
[00:56:44.000 --> 00:56:53.000]   And we begin our ride downtown. Now, it's a short trip to the Long Wharf video. But with Forrest, he cannot ride and ask questions at the same time.
[00:56:53.000 --> 00:56:58.000]   And he's constantly talking, so he breaks the talk. It's going to be an afternoon project.
[00:56:58.000 --> 00:57:04.000]   And so we start down. "Dad, can I tell you something?" "What?" "Aliens don't have armpits, Dad."
[00:57:04.000 --> 00:57:13.000]   "How do you know, Forrest?" "I just do." "Dad, can I tell you something?" "Sure, sweetie. I know what's inside ghosts."
[00:57:13.000 --> 00:57:22.000]   "What?" "Nothing, Dad." "And what is nothing, Forrest?" "Nothing's just a word, Dad." "Dad, 'oh my' is not a bad word, is it?"
[00:57:22.000 --> 00:57:27.000]   First of all, 'oh my' is two words. Second of all, there's no bad words. I told you that before.
[00:57:27.000 --> 00:57:30.000]   No, my teacher said I can't say, "Oh my God, Dad." I can't say, "Oh my God."
[00:57:30.000 --> 00:57:36.000]   Forrest, you can say anything you want. You have my permission now. You can say, "God." You can say, "Oh." You can say, "God, my 'oh.'"
[00:57:36.000 --> 00:57:41.000]   Let's go over this again. There is no such thing as a bad word until you put it in context.
[00:57:41.000 --> 00:57:45.000]   Then it begins to take on bad. We'll talk about that later, all right? Let's just start with...
[00:57:45.000 --> 00:57:49.000]   All right, we don't have a bad word. Let's make one up. Let's write it in the sky here.
[00:57:49.000 --> 00:57:53.000]   Let's take a good bad word. Now, there's a concept, Forrest. A good bad word.
[00:57:53.000 --> 00:57:57.000]   What would be a good bad word over at your school? "Shit, I bet shit would be one."
[00:57:57.000 --> 00:58:01.000]   Let's do it. We don't have it yet. Let's start with S. Is that a bad letter? No. Does it smell? No.
[00:58:01.000 --> 00:58:07.000]   My name begins with S. Let's say I have a snakey letter. S-H. Bad? No. I. That's still not bad.
[00:58:07.000 --> 00:58:11.000]   I. T. There it is. Shit. Is that bad? Does it smell? No.
[00:58:11.000 --> 00:58:15.000]   Don't mistake it with the thing in the toilet, you see. That's the substance. That's the thing in itself.
[00:58:15.000 --> 00:58:19.000]   The word is a signifier only. You see, in a way...
[00:58:19.000 --> 00:58:27.000]   In a way, I think the Bible had it wrong. At least the book of John. He says, "In the beginning was the word.
[00:58:27.000 --> 00:58:33.000]   Exodus was closer." In the beginning...
[00:58:33.000 --> 00:58:39.000]   In the beginning, God created. Forget about God. Just think about creation. We'll do God later.
[00:58:39.000 --> 00:58:44.000]   Just think. In the beginning, the creation. So we have the act first. The creation.
[00:58:44.000 --> 00:58:48.000]   Then we have the substance, the thing in itself. Then we have the naming of the thing in itself.
[00:58:48.000 --> 00:58:53.000]   So the word is quite a ways down the line. Don't you see, Forrest? Look, let me show you another thing.
[00:58:53.000 --> 00:58:59.000]   I'm going to take a stick here. I'm going to take a stick and write the word "shit" in the dirt.
[00:58:59.000 --> 00:59:05.000]   Will that make it dirty? Just the opposite. It's an absence of dirt because I have to carve the dirt out, you see.
[00:59:05.000 --> 00:59:14.000]   Maybe I'm trying to tell him too much. Are you alright, Dad?
[00:59:14.000 --> 00:59:22.000]   I have to stop at the bank. He has no interest in coming into work. Who would?
[00:59:22.000 --> 00:59:26.000]   I mean, I can't imagine my father taking me out of a car and sticking it in a metallic crack
[00:59:26.000 --> 00:59:31.000]   and watching Fresh 20s come out of another metallic crack. As I'm over in the corner counting them, I come out.
[00:59:31.000 --> 00:59:37.000]   He's given peace signs as he rides down the road. His babysitter, Theresa, ex-merchant marine, taught him how to do the peace sign.
[00:59:37.000 --> 00:59:42.000]   Why do they call a bank a bank, Dad? Oh, I don't know. Forrest, please. A bankman, I guess.
[00:59:42.000 --> 00:59:47.000]   Something like a river bank. Water in, money out. I don't know. We're outside the five and dime now.
[00:59:47.000 --> 00:59:52.000]   I think he wants to go into the five and dime and get something. No. Do you want to go in? No, I'm fine.
[00:59:52.000 --> 00:59:59.000]   Where does he get that little quick adult cocktail hour response? Like, can I freshen your drink? No, I'm fine.
[00:59:59.000 --> 01:00:12.000]   He is such a non-acquisitor. I love that about him, really. I mean, I fell in love with Forrest when I'd see him with his balloons.
[01:00:12.000 --> 01:00:18.000]   He wasn't even two. Baboona. He would love balloons, but after a little while he just let it go and watched it go up.
[01:00:18.000 --> 01:00:23.000]   I saw kids cry for hours at a lost balloon. I fell in love with him again when he was making cupcakes.
[01:00:23.000 --> 01:00:31.000]   We were making cupcakes and his sister was away for the month of August. And the first cake he made, he was going to save for her until September and kept it until then.
[01:00:31.000 --> 01:00:36.000]   I fell in love with him again that first Halloween in Sag Harbor when we were downtown trick-or-treating.
