[00:00:40.400 --> 00:00:47.680]   Thanks for coming out.
[00:34:21.200 --> 00:34:29.200]   Meg could barely touch them, but I was drunk enough to eat them whole and asked for seconds.
[00:34:29.200 --> 00:34:37.200]   After dinner and dessert, somewhere in the middle of the odd couple, Babs, with the help of Meg, cleared the dishes away and put them in the dishwasher,
[00:34:37.200 --> 00:34:44.200]   starting the last annoying mechanical grind before dad's white noise box took over to drown out the sound of night crickets.
[00:34:44.200 --> 00:34:49.200]   Still, without a word of inquiry about India, dad and Babs began to get ready for bed.
[00:34:49.200 --> 00:34:58.200]   Babs disappeared into the bedroom. Dad performed his last evening rituals, checking the home weather unit for wind velocity and barometric pressure,
[00:34:58.200 --> 00:35:09.200]   instructing me as to what lamps not to touch, turn off because they are on automatic timers. Then he retired in Babs and he retired to that white noise box.
[00:35:09.200 --> 00:35:19.200]   Meg went to the guest room to read and I went for a welcome walk alone.
[00:35:19.200 --> 00:35:26.200]   I wandered in the warm night down the long country lane that led, if you followed it all the way, past the place of mom's death,
[00:35:26.200 --> 00:35:34.200]   onto the charred remains of Babs' family farmhouse. Protected from fear and anxiety by a warm glow of alcohol, I wandered and staggered under the stars.
[00:35:34.200 --> 00:35:42.200]   Nothing could touch me now. And for a minute, I even considered walking all the way to our old house at the end of Shandy Lane to meditate on mom,
[00:35:42.200 --> 00:35:46.200]   to try to see that night in July I had missed when I was in Mexico with Meg.
[00:35:46.200 --> 00:35:53.200]   But it was too far to walk and too painful to dwell on, so I decided instead to try to sneak into dad's pool and swim naked.
[00:35:53.200 --> 00:36:02.200]   I had a feeling I could pull it off if I was quiet and didn't splash. Taking my clothes off brought back the most delicious body memories from childhood,
[00:36:02.200 --> 00:36:11.200]   of running naked on summer nights under a full moon, running nude through the white statuary in the yard of the mansion across the street from a honeysuckle boyhood home.
[00:36:11.200 --> 00:36:22.200]   And I suddenly wanted to have myself and I rubbed my hands all over my warm naked body trying to surprise it with some foreign touch, some unexpected move.
[00:36:22.200 --> 00:36:31.200]   I slipped into the heated pool and without a sound I swam on my back, looking up at the stars. At the same time, I ran my hands down over my new body,
[00:36:31.200 --> 00:36:40.200]   my ass, my thin thighs, and then they opened and spread and pumped like those fully alive animation of those frog's legs we had earlier.
[00:36:40.200 --> 00:36:49.200]   When I got to the bedroom, I found Meg asleep with the light on. Her pixie haircut was still damp like a duck's tail from her shower.
[00:36:49.200 --> 00:36:58.200]   And she looked fresh and innocent on those cotton sheets. She was almost a child again in my eyes, except for that one troubled blue vein that slightly raised on her forehead.
[00:36:58.200 --> 00:37:08.200]   I stood there wondering how could I still go on loving, how could she still go on loving me when I seemed to be doing all I could to drive her away.
[00:37:08.200 --> 00:37:17.200]   It was a miracle, but I was able to sleep the whole night through and even woke up in the morning to one glorious moment of forgetfulness.
[00:37:17.200 --> 00:37:26.200]   When the only delicious sensation of being wrapped in those cotton sheets was real. Then the panic set in again, the crazy images of India, Ladakh, Amsterdam swept over me.
[00:37:26.200 --> 00:37:33.200]   As soon as I felt that anxious bale of wire feeling in my legs, I thought the best thing to do is to jump out of the pool and work it out.
[00:37:33.200 --> 00:37:41.200]   Dad and Babs already had been up for a long time, puttering and muttering. "Hi ho, hi ho, hi ho," Dad cried in his pretend faraway voice.
[00:37:41.200 --> 00:37:51.200]   Babs was just ever in the kitchen rinsing the breakfast dishes by hand as she stared out over the still blue pool and then stacking them completely clean in the dishwasher.
[00:37:51.200 --> 00:38:02.200]   "Good morning, Brew," she said in her Rhode Island twang. I said good morning back and the both of them staggered out to the pool still slightly hungover, I was still slightly hungover and half asleep.
[00:38:02.200 --> 00:38:14.200]   Dad followed me out asking did I have the right towel? How did I sleep? What did I want for breakfast? Were Meg and I going to eat breakfast together and did I want Babs to fix it for us?
[00:38:14.200 --> 00:38:25.200]   Did we want bacon that was already made in the warmer? This was followed by numerical rundown of the morning's readings of the gauges of the house, air temperature, barometric pressure, wind philosophy and temperature of the pool.
[00:38:25.200 --> 00:38:37.200]   Never once did he ask me what it was like to travel all the way to India and back. In fact as I stood poised about to dive I realized that Dad and Babs still had not asked me one question about India.
[00:38:37.200 --> 00:38:49.200]   A big splash and I was in the pool again and for a moment I was almost in the moment again. It was all just water in motion and something I call me in motion in it.
[00:38:49.200 --> 00:39:01.200]   This was the only time I ever understood my boundaries because the thing outside of me was so apparently different, so liquid, so other, so unlike those solid things, those people and lawns and cars and mountains and buildings and trees.
[00:39:01.200 --> 00:39:14.200]   It was such a great curative this thrashing and splashing and I wondered how I, I wondered as I swam back and forth from one end of the pool to the other how would I survive back in New York City without a swimming pool.
[00:39:14.200 --> 00:39:32.200]   The swim woke me up and brought me back to life and I managed to get through Dad's living room interrogations about water temperature without much problem. In the bedroom I peeled off my wet swimsuit, dried myself with Babs's prize fluffy pink towel, slipped naked into bed beside Meg who rolled over smiling.
[00:39:32.200 --> 00:39:48.200]   But when she saw my face hers took on a kind of worried look. She wanted to know what was wrong. I told her I just had a swim and I felt fine, but she knew that I was wired and hungry for relief through what she called manic sex.
[00:39:48.200 --> 00:40:03.200]   Please Brewster, Meg begged, I just don't feel turned on in your father's house. Don't you know that? Haven't you noticed that by now? Let's get up and do something productive. Let's go out and wash and Simonize the van before we go to the beach.
[00:40:03.200 --> 00:40:18.200]   Alright, I said groaning slightly as I reluctantly dragged myself semi erect out of bed. We can go wash the car but I won't go to the beach because it's Fourth of July and I don't want to see it. I just want to pretend that the whole weekend doesn't exist.
[00:40:18.200 --> 00:40:38.200]   Meg was in better spirits after breakfast but I was groaning more. I was groaning between bites of toast and swallows of Babs's dreadful instant coffee. Dad was hovering around me washing and drying every utensil I put down on the table for more than 10 seconds. I'd pick it up again and find it was to my surprise completely clean.
[00:40:38.200 --> 00:40:50.200]   Meg was reading the paper oblivious. She had a way of falling into the news. After all of this and a couple of Babs's camel regulars which made me cough and wheeze, Meg and I set out to wash and Simonize the van.
[00:40:50.200 --> 00:41:10.200]   Dad was out there running the flag up the flagpole and I knew what was driving me nuts. On holidays one was supposed to have a good time and I felt under such pressure to have one but I didn't know how. I never had a good time on holidays. People were supposed to let loose and laugh and they usually did but I usually heard them at a distance and it drove me nuts.
[00:41:10.200 --> 00:41:26.200]   Sure they had to be working real hard jobs that they hated so that they would be able to unwind from, right? I was just one of these post-adolescent searcher drifters going from job to job then falling through the cracks into anxiety when I wasn't working. I didn't know how to have fun.
[00:41:26.200 --> 00:41:41.200]   After the van was Simonized and clean and shiny we stood back and looked at it, Meg's smile enjoying the pleasure not only of a job well done but also the transformation of the van into something like a smiling green truck in a storybook. I stood and looked at Meg's face enjoying her enjoyment.
[00:41:41.200 --> 00:42:00.200]   Meg, my go-between. The van was like a green toy in a black slightly mud-stained asphalt framed by a perfect green lawn under a loving red, white and blue American flag and for a moment it all held together like some physical poem of itself. A poem of the real world captured.
[00:42:00.200 --> 00:42:20.200]   But that vision gave way to my internal films again. Me and Bali hanging out in some expatriate hippie commune. Me just hanging out in timeless splendor with some great interconnected unspoken agreement between man and woman doing what I couldn't tell just lying there stone looking up into not all that meaningful palm trees.
[00:42:20.200 --> 00:42:29.200]   And yet I thought in the face of meaningless death it must take great courage to do nothing. To just do nothing at all.
[00:42:29.200 --> 00:42:43.200]   The rest of the day was spent out by the pool waiting for the end of the day to come. Waiting for cocktail hour. Meg and I lay in white hot noonday limbo light Meg reading Dads and Babs's endless collection of glossy magazines.
[00:42:43.200 --> 00:42:54.200]   She thumbed through them seeming content did almost anything. She could switch from the magic mountain to house and garden without concentration expression on her face changing once.
[00:42:54.200 --> 00:43:04.200]   She concentrated on everything that she did and I loved her for it. When I wasn't watching her concentrate I was trying to concentrate but I never was able to find an object to concentrate on.
[00:43:04.200 --> 00:43:22.200]   I was definitely stuck in what I call discursive mind. Bouncing from association to association reduced to moving in a triangle going from reading and underlying life against death to fantasies of Bali and my new obsession with saving drowning bugs from my father's swimming pool.
[00:43:22.200 --> 00:43:28.200]   By midday my obsession of saving the drowning bugs had taken over.
[00:43:28.200 --> 00:43:32.200]   Dad and Babs stayed indoors. They didn't lie in the sun for fear of skin cancer.
[00:43:32.200 --> 00:43:43.200]   From where I sat watching all these struggling bugs I could hear Dad and Babs in their endless and nain putterings confronting background sounds like white noise.
[00:43:43.200 --> 00:44:01.200]   Occasionally the puttering sounds would be broken by little flare ups between them when their random orbits collided or when Dad would need help finding his ice cream maker that he had most likely hidden from himself in some boozy haze and now too ashamed to admit it he was turning on Babs and accusing her of hiding it.
[00:44:01.200 --> 00:44:13.200]   Meg was lost in Yankee Magazine as I got up and discovered to my horror just how many different kinds of bugs were drowning in Dad's pool. I'd never seen so many in such different stages of panic.
[00:44:13.200 --> 00:44:26.200]   I didn't know the names of most of them but I was able to identify one or two big repulsive June bugs, some grasshoppers, a few Japanese beetles, house flies and most important one good luck lady bug.
[00:44:26.200 --> 00:44:38.200]   At last I went after them with a broken branch I found at the edge of the house near Babs's rose garden. Then I shifted to the pool cleaning net in order to rescue more of them in one sweep.
[00:44:38.200 --> 00:44:56.200]   I spent most of the day pulling each and every bug out placing on a safe little dry spot on the rubber edge of the astroturf. It gave me such a feeling of accomplishment to watch them dry off and kind of shake and slowly come back to life and creep away over that green astroturf into the rose garden.
[00:44:56.200 --> 00:45:12.200]   And yes a sense of meaning gradually crept into me as I thought all these bugs had been saved today because I didn't go to Bali. When I finally looked up from the siege of drowning bugs I saw Meg asleep in the sun.
[00:45:12.200 --> 00:45:29.200]   Except for the raised blue vein in the center of her forehead she looked like peace. I noticed that the sound and puttering in the house had come to a halt capped off by Babs calling out the kitchen window, "Aren't you kids hungry for some lunch?" I wanted a beer more than I wanted lunch but I figured if I had lunch I could have a beer with it.
[00:45:29.200 --> 00:45:51.200]   Dad had nothing but those damn Miller lights around so I had four to relax after I had this damn traumatic bug rescue. All the time I was eating my tuna salad sandwich though I kept seeing more and more bugs step off the giant edge of the pool and fall in and struggle on their backs until I had to put down my sandwich and go down and rescue them.
[00:45:51.200 --> 00:46:07.200]   I never got back to life against death that day I spent the day saving bugs. At last one glorious moment in the pool free of bugs and I plunged in to refresh myself. I felt that fluid liquid feeling and in no time it was blessed cocktail hour again.
[00:46:07.200 --> 00:46:27.200]   We'd almost gotten through the day without the sound of a parade of fireworks at all. What a blessing I thought as I did my frantic laps from one end of the pool to the other. We showered and dressed, both Meg and I dressed in white, me and my cotton Indian pants and Meg in her white cotton dress and we went back to sit by the pool.
[00:46:27.200 --> 00:46:43.200]   We drank together with Dad and Babs and the evening brought a coolness to our suntanned bodies under white cotton. After I had many drinks, light beers with scotch poured in to beef them up and bunches of light peanuts that tasted like styrofoam.
[00:46:43.200 --> 00:47:02.200]   Dad lit the coals and brought out the bloody bicentennial slab of raw meat. As soon as Babs noticed that the flies and mosquitoes she suggested that we eat indoors. That became the new overriding topic. Should we eat out or in? Was it too cold out? Was it too hot in? Were there too many bugs?
[00:47:02.200 --> 00:47:19.200]   The sizzling, the steak smoke rose up like a cowboy's campfire and Dad said that the steak smoke rising straight up like that was a sign of continuing good weather. As if it mattered. As if it mattered I thought, how would we behave differently if it rained?
[00:47:19.200 --> 00:47:37.200]   Dad and Babs got in a panic every time Meg or I opened the screen door because they said we were letting in flies. I kept thinking of all the flies in India and all the flies I'd saved from drowning that very afternoon, which are probably the ones that were following me into the house to celebrate being saved.
[00:47:37.200 --> 00:47:55.200]   In the middle of the holiday bedlam of steak smoke and flies, Babs, after about three and a half martinis, got out her antique fly gun and went after them. It was this old tin gun that was supposed to once belong to Roger Williams and it was worth, I was sure, a small fortune.
[00:47:55.200 --> 00:48:13.200]   There was nothing to this little gun. It was like a toy tin handgun painted bond red with a spatula like device that bent back and hitched on a little trigger, which when you pulled it and released the spatula and if you were the proper distance from the fly, smacked the bug dead.
[00:48:13.200 --> 00:48:27.200]   It was such a funny, simple, stupid little thing but no one was laughing. Everyone was dead serious and I wanted so much to laugh but I couldn't laugh, I guess, because I kept thinking, gee, this is funny.
[00:48:27.200 --> 00:48:34.200]   I've saved all these drowning flies just so they can be smashed by an antique fly gun that once belonged to Roger Williams.
[00:48:34.200 --> 00:48:47.200]   Dad didn't think it was funny. He kept yelling, put that damn fly gun down, sis, and get yourself a proper fly swatter. By now Meg was off reading a brief history of Providence plantations and last of the fading light.
[00:48:47.200 --> 00:49:10.200]   The steak on our plates was rare. The steak on our plates was definitely rare. It was very, very rare and the blood from the meat attracted mosquitoes and droves. Finally Dad got out his big bug bomb and set it off around our feet and we sat there with the poison streaming up around our ankles as we tore into that raw meat.
[00:49:10.200 --> 00:49:27.200]   I bit into my steak and all the juice and the blood immediately put me into a sense of desire. The more I chewed, the more I wanted, the more I ate, the less satisfied I felt. It was like chew, chew, chew, angry chew and then big gulps and swallows, wash it down with more light beer.
[00:49:27.200 --> 00:49:47.200]   Meg couldn't eat it. It was too rare for her. She asked for the charred piece at the end. It was real toasted and toasted fat on it. Dad drank steak blood from a serving spoon. Babs kill flies. Meg rolled her eyes back in her head and I went back to Bali in my mind.
[00:49:47.200 --> 00:50:01.200]   I was lying there naked in a hammock stretched between two palm trees under the stars and there were no bugs anywhere.
[00:50:01.200 --> 00:50:18.200]   After dinner I tried to introduce something new by offering to give Babs and Dad a slide show of our trip to India. And to my amazement, they were not completely closed to the idea. So while Babs and Meg cleared dishes, I helped Dad set up the screen and slide projector.
[00:50:18.200 --> 00:50:37.200]   We set it up in the living room which was a major project and Dad was groaning louder than I was groaning. For both of us it seemed a joyless task. Then Meg got out the slides which we were both very proud of and we showed them alternating our random comments as we traced our trip from Delhi up to Kashmir up to the dock and back to Delhi again.
[00:50:37.200 --> 00:50:59.200]   It looked like a story from someone else's life. Meg and I looked like characters in someone else's movie. Babs and Dad hardly reacted to it at all. After the slide show was over, Babs said, "Well, you kids really had some trip and you're lucky to be back, aren't you?"
[00:50:59.200 --> 00:51:15.200]   Neither Meg nor I responded to her rhetorical question. We just got up and made motions like Dad and Babs and got ready for bed. Everyone went to bed and I stayed up in the den drinking light beer to ease me down from all those hectic relaxation, the hectic relaxation of that day.
[00:51:15.200 --> 00:51:30.200]   Then I dug out the old family album and poured over those idyllic photos of Mom and Dad's courtship. Those old pictures of them on a moose hunt in Maine with Grandma North and her boyfriend, all of them standing on a big log with guns and hands smiling.
[00:51:30.200 --> 00:51:47.200]   They looked like they were having such a great time. None of the faces in those photos had the existential puzzled trouble look that my face had in our India slides. No, those moose hunt photos radiated smiling innocent hope of anticipation of a new bright world to come.
[00:51:47.200 --> 00:52:05.200]   I went on slowly turning the pages following Mom and Dad's life through to me, their second son. Who in the early photos looked like a sour disgruntled prune head? Why was I so sour so early on I wondered? Was I born into the world that way?
[00:52:05.200 --> 00:52:23.200]   I got up to fetch another beer but there were no more beers in the kitchen refrigerator. I would have to go into the basement to bring up a six pack from Dad's basement refrigerator. Switching on the basement light I started down the stairs. Halfway down I was seized with fear.
[00:52:23.200 --> 00:52:41.200]   At first I couldn't imagine what was frightening me. And then I realized it was the fear that Mom's ghost was about to haunt me. I stood paralyzed on the stairs afraid that I would see Mom in some semi cremated state.
[00:52:41.200 --> 00:53:02.200]   The way they say incinerating bodies look as they sit up from the extreme heat, popping and twisting like cooking slabs of bacon. I was afraid I would see her body now in my uncontrolled imagination the way I saw it in that vision in Mexico when she appeared to me in the flames of Olaf's fireplace around the time she had actually been cremated.
[00:53:02.200 --> 00:53:28.200]   I didn't want to go into the basement but I wanted and really needed another beer so I moved fast. I felt Mom's deadly yawning dripping burn disturbed presence in every corner as I ran up the basement stairs with that six pack of Miller light in my hand. I could feel her hissing demon breath tearing at my backside. I could feel the dark charred spirit of Mom that had never at least by me been properly laid to rest.
[00:53:28.200 --> 00:53:49.200]   By the time I got upstairs I was so upset I had to drink three more beers just to calm down. And as I drank them I remembered another ghost of Mom, less fearful, more depressing, more banal. It came to me in recurring dreams I had of Babs and Dad with Mom moving like an unseen ghost between them.
[00:53:49.200 --> 00:54:03.200]   Those dreams came just after Babs and Dad got married and moved into their new house. In the dream I would see Babs and Dad walking around their new kitchen trying out all their new electrical gadgets and appliances.
[00:54:03.200 --> 00:54:23.200]   And in the middle of it all was Mom, a less substantial figure dressed in a summer smock drifting like a transparent ghost, a hologram of herself through Babs and Dad who didn't see her and just went on filling the dishwasher with already clean dishes and turning on the trash masher and the electric can opener.
[00:54:23.200 --> 00:54:36.200]   Grind, grind, grind.
[00:54:36.200 --> 00:54:57.200]   Brister deteriorates after the visit home. His Kundalini comes up extremely strong and he's bouncing off the walls. Meg can't handle it. Meg and friends want to commit him to Bellevue.
[00:54:57.200 --> 00:55:17.200]   They take him to Bellevue and he's ready, he has to sign the papers in order to go in and the admitting doctor asks him what he does, who he is, what he does for a living and he gets very confused and says that he is, he strains to get to it but he finally says what he really wants to be and isn't yet.
[00:55:17.200 --> 00:55:32.200]   An artist, he says he's an artist. And the admitting doctor says oh I understand you sensitive artist, I play the clarinet myself. Brister is freaked by the fact that he plays the clarinet, if it was the oboe it would be another thing.
[00:55:32.200 --> 00:55:36.200]   This is just enough to make him not sign the papers.
[00:55:36.200 --> 00:55:51.200]   So he doesn't go in to Bellevue. What his idea is, is that if he can make it to California, he's going to be alright because he's going to be at peace in Santa Cruz and San Francisco, he thinks that's the promised land.
[00:55:51.200 --> 00:56:05.200]   And he has no money to make it there and he wants to go on the American Gypsy, it costs $69 and you just lie in a bed the whole way across, stoned I guess.
[00:56:05.200 --> 00:56:18.200]   So in order to ride across the California American Gypsy, he decides, because of this sexual thing again that's really taking him over, to try to make the money by making a pornographic film, acting in it.
[00:56:18.200 --> 00:56:35.200]   And so he goes up and applies for it and actually gets the job, doesn't have a partner, gets the job by lying to the director Bernie and tell him that he's just gotten back from Copenhagen where he's been working in lots of porn films.
[00:56:35.200 --> 00:56:47.200]   And he's come back because a member of his family died and he just wants to do a few films while he's over here before he goes back to Copenhagen. Bernie believes him and hires him and so this is Brister's first porn film.
[00:56:47.200 --> 00:56:57.200]   After Bernie and everyone else arrived, the shot was set up and all the actors were herded back into a small bedroom which served as a waiting room.
[00:56:57.200 --> 00:57:06.200]   We were all piled in this little side bedroom, a mixture of men and women just waiting to be called to do whatever it was we were asked in whatever combinations.
[00:57:06.200 --> 00:57:14.200]   I don't think anyone ever knew what the film was about. It wasn't as though anyone was reading scripts or studying lines or anything like that.
[00:57:14.200 --> 00:57:24.200]   We were just hanging out. No one was even reading a book. There was a strange, somewhat perverse quality of privacy among us.
[00:57:24.200 --> 00:57:36.200]   The actors and actresses didn't talk dirty, as you might imagine. They were all very discreet and proper, at least when it came to talking about what they did when they left the room and went on camera.
[00:57:36.200 --> 00:57:55.200]   In a regular non-pornographic film, you might expect an actor or actress to come off camera all bubbly talking about how the scene went, but here the actors and actresses just came back with discreet little smirks on their faces and then lay around in states of semi-dress hanging out until they were called again. It was weird.
[00:57:55.200 --> 00:58:01.200]   But they were not at all private in the way they displayed themselves, particularly the women.
[00:58:01.200 --> 00:58:27.200]   There was this one actress who drove me to distraction. She came back into the waiting room after she did whatever it was that she did and she rolled what she called a spliff, a little marijuana mixed with cigarette tobacco, and then just lounged back in a peach colored satin robe, cross her legs and bounce her foot until the robe slowly fell away to reveal this fantastic thigh nicely pruned bush.
[00:58:27.200 --> 00:58:39.200]   Then she let her robe fall open at her chest while she talked about her boyfriend and how he was a total grump when he didn't have his marijuana. "Just a big old grump," she said.
[00:58:39.200 --> 00:58:51.200]   She talked about some trip they had taken to Hawaii together and how she thought it was going to be so spectacular, but her boyfriend was a total grump because he couldn't score some grass until the last day there.
[00:58:51.200 --> 00:59:01.200]   I just sat there like a dumbstruck ten-year-old in a candy store. The sight of that woman made me crazy. I wanted to touch her all over. I wanted to be her slave.
[00:59:01.200 --> 00:59:13.200]   I kept hoping that I'd somehow be paired up with her, but I figured that the chances were slim, real slim, because every time I caught a glimpse of myself in the mirror, my face looked so sad and mad.
[00:59:13.200 --> 00:59:31.200]   I looked like Anton Anto in his last days. So I couldn't help making up my own porn film in my head about how this slinky lady would have me down on all fours with a dog collar around my neck, how she'd have me on a leash and command me to eat her all over.
[00:59:31.200 --> 00:59:44.200]   I was sure that to have her would be total satisfaction. But any attempt at conversation just fell in between the beds. So I ended up talking to this guy, Gary. Gary was about my age, a nice enough guy.
[00:59:44.200 --> 00:59:53.200]   He had a female partner. That's the only reason he said that he was able to get work, so much work in porn films. He was surprised to find that I had gotten work without a partner.
[00:59:53.200 --> 01:00:07.200]   Unless you're a porn star, it's very difficult to get work without a partner. Gary's partner was named Janine, and she looked like a star-struck starlet type, only she was just slightly off. She didn't have that pretty commercial look that makes you big for the movies.
[01:00:07.200 --> 01:00:20.200]   There was too much going on in her face. You could see the doubt and anger. She couldn't hide it well. She couldn't plastic it over. And I figured that sort of turned off the casting people in legitimate films.
[01:00:20.200 --> 01:00:34.200]   Janine and Gary were old friends and trusted each other enough to have functional sex on camera. Gary said they'd even had a good time sometimes, but that he didn't want to dwell on it, the good times too much, because he didn't want to get too attached.
[01:00:34.200 --> 01:00:44.200]   He wanted to be able to leave the city when the time came. I was curious about Janine's story, but before we could get to it, Bernie, the director, came in, still wearing those damn reflective sunglasses.
[01:00:44.200 --> 01:01:00.200]   And he came to me, and he called me out into the living room. I was very nervous, not having any idea what I was called out to do. But both to my relief and to my disappointment, the task turned out to be absolutely simple.
[01:01:00.200 --> 01:01:21.200]   All I had to do was walk by a bare-breasted woman who was being whipped with a little cat of nine tails by a man dressed like a pirate. It was not a violent scene. He was barely hitting her. I had to stand there, watch him whipper three times, look down at my watch, which props had just put on my wrist, then look up at the camera and say,
[01:01:21.200 --> 01:01:37.200]   "Oh, shiver my timbers." I do declare, "Three o'clock," right on the old nose. Then I just stroll out of the room, like some absent-minded professor. By now, they had me dressed in a very nice Palm Beach suit.
[01:01:37.200 --> 01:01:57.200]   Anyway, there was no discussion of character or plot or who was supposed to be doing what or anything. I just decided to do my line reading like Woody Allen would have, and everyone laughed when I did it, and this made me feel real good. I felt like I'd accomplished something, like it was potent, like I had brought a little more laughter into the world, and I liked the feeling of that.
[01:01:57.200 --> 01:02:11.200]   After my scene, which was done in three quick takes, I got to hang out against the wall while they did a setup for the following shot, just long enough to find a little out about the movie and the plot before Bernie called me back into the bedroom.
[01:02:11.200 --> 01:02:30.200]   One of the grips, who was real nice, told me that the film was about some sort of wrinkle-in-time situation in which a pirate ship comes out of the 18th century to land at Fulton Street in downtown Manhattan. These pirates have come to claim one of the crew who is now a Wall Street stockbroker and has almost forgotten he was a pirate in his past life.
[01:02:30.200 --> 01:02:49.200]   All he knows is that he has a fascination with pirate ships, and he gets an erection every time he sees a picture or model of a pirate ship. In fact, this grip told me that the star of the film had got to get a full engorged erection while a woman playing his secretary carried a clock shaped like a pirate ship through the room.
[01:02:49.200 --> 01:03:08.200]   They had shot that scene and he had been able to get erect just at the sight of the ship shaped clock. The grip told me that the star was a very good porn actor and much in demand because he never required a fluffer, which was the name of a woman who was paid just to get the man up for the scenes.
[01:03:08.200 --> 01:03:21.200]   Before I could get any more information, Bernie took me back into the bedroom where I fell back into talking with Gary and again, at last, Gary and Janine and I were called to do a scene together.
[01:03:21.200 --> 01:03:37.200]   I was a little surprised that the three of us were called together, but at this point the whole lot was just completely surprising to me. Once we got undressed, we were led into another bedroom where the camera crew was all set up and waiting.
[01:03:37.200 --> 01:03:51.200]   Without explaining how the scene fit into the plot of the movie, as if it was shooting some other film, Bernie simply described the shot to us. He told us that this was a shot he had been thinking about for a long time.
[01:03:51.200 --> 01:04:05.200]   It was to be Gary and me just lying on our backs, limp, naked, relaxed, and then Janine was to appear in the doorway where she would slowly slip off her robe and we would gradually grow erect.
[01:04:05.200 --> 01:04:19.200]   Then there was this shot of us, or rather our cocks, becoming erect, like two kind of giant red asparagus growing out of a field of pubic hair. This is how Bernie described it.
[01:04:19.200 --> 01:04:40.200]   And his description surprised me because it was unlike him, so poetic. After they got the shot of the two erections, Janine was to move in and we were to have this glorious menage à trois where Gary fucks Janine in the ass while she blows me at the same time.
[01:04:40.200 --> 01:04:53.200]   It was definitely not poetic, and I had no idea how I was going to accomplish this rather intimate, complicated act in front of those sound and cameramen, not to mention Bernie and his god-awful reflective sunglasses.
[01:04:53.200 --> 01:05:06.200]   I think both Gary and I were hoping that some workable fantasy would take over when the time came to get erect, but it didn't. Nothing happened to either of our cocks when Janine came through the door.
[01:05:06.200 --> 01:05:21.200]   They just lay there, limp. I felt like I was on an operating table rather than a bed, and it was supposed to be an erotic situation. There were no fluffers available, so Janine was asked to please try to fluff us both.
[01:05:21.200 --> 01:05:38.200]   Then fluffers run to the door and make a grand entrance. So the work, and I mean work, began. Janine came over to the bed dressed only in a robe while Bernie paced to the side like a basketball coach and the cameramen adjusted the lenses and the boom.
[01:05:38.200 --> 01:05:51.200]   Men, the mood men fiddled with their booms. Jean began to fiddle and fluff with Gary and me. She started sucking on Gary's cock while she stroked mine with her hand. Then Gary was erect, but nothing was happening for me. I was numb.
[01:05:51.200 --> 01:06:02.200]   There was nothing and no one in the room that was turning me on. After Janine got Gary hot, she began to suck on me, which seemed to help, but while she was doing that, Gary went soft.
[01:06:02.200 --> 01:06:19.200]   So for a while, there was this back and forth, up and down like a sexual seesaw, one cock getting hard while the other went soft. Bernie continued to pace impatiently on the sidelines, back and forth. I just lay there like a little kid with my mouth piped trying not to scream.
[01:06:19.200 --> 01:06:32.200]   I just lay there, getting done and watching this once important part of me inflate and deflate again and again. At last, Bernie had the good sense to clear the room so Janine could work on us in private.
[01:06:32.200 --> 01:06:55.200]   So leaving the cameras and booms set up, the whole crew left. Gary was to call them back when the task of dual erections was accomplished. Janine began to work on us again. Somehow she was able to get both of our cocks harded up at the same time, but now it all seemed like something going on far away, something I hardly felt a part of.
[01:06:55.200 --> 01:07:04.200]   Gary called for Bernie and the crew and they all came running back in. But by the time they got set up again, Gary and I had begun to wither.
[01:07:04.200 --> 01:07:19.200]   And all they got were these two rather wilted dicks that were mostly held up by our hands and looked like a display of specimens in some medical journal, like erotic male members.
[01:07:19.200 --> 01:07:33.200]   The next shot was not an unusual shot if you've seen porn films or porn magazines, you'd recognize the shot immediately. It was the old demeaning classic, demeaning that is for the woman who was getting used at both ends.
[01:07:33.200 --> 01:07:44.200]   Janine was instructed to get on all fours, Gary was instructed to kneel behind her and fuck her in the ass while she sucked my cock. I was glad that I was the passive one in all of this.
[01:07:44.200 --> 01:08:02.200]   As soon as Janine heard that there was going to be an anal intercourse in the shot, she called for her contract. Bernie's assistant came running with it and held it steady on the bed while Janine, naked on all fours, signed the anal intercourse clause, which provided exactly for $37 bonus.
[01:08:02.200 --> 01:08:15.200]   Once again the room was cleared for us to work in private. Janine and Gary got the whole interconnected machine, Janine and I got this whole interconnected machine and all of its parts working away.
[01:08:15.200 --> 01:08:25.200]   And then Gary yelled, "Okay!" and the crew came running. Bernie was running up and down the sidelines like a coach for a winning team calling out, "Go, that's good, that's good!"
[01:08:25.200 --> 01:08:34.200]   Then to me, "Move around more North, make it look like you're enjoying it! Make sounds, broster, make noises, make some sounds, boy, will you?"
[01:08:34.200 --> 01:08:45.200]   And I could feel myself going limp as soon as he used the word "boy." In order to counteract that I went into a memory bank to come up with some useful fantasy.
[01:08:45.200 --> 01:08:57.200]   I went somewhere else in my head, I went back to the Dom Square in Amsterdam and found a young Italian girl and brought her back to Hans' house and at last did it with her in the attic room.
[01:08:57.200 --> 01:09:13.200]   That's where I was when Bernie called for the cum shot. Because there was only one camera, Gary came first, shooting his warm ward on Janine's back, rubbing it in with his hand for the close-up, a standard porn film technique he'd learned in the past.
[01:09:13.200 --> 01:09:27.200]   Then it was my turn, Bernie yelled, "Cum shot!" and Janine pulled her mouth away and I shot into the air. This left me with a very sad, empty feeling.
